rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins,polarization
pushout_victory,"Pushed out marbles return to the center, if it is free. Else they are removed._Occupy all goals of your color.","pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + victory: Occupy all goals of your color.",0.4479166666666667,96.0,43.0,0.052083333333333315
pushrequirement,You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,0.4487179487179487,156.0,70.0,0.05128205128205132
push_pushrequirement,Push a column of marbles by 1 space in any direction_You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,push: Push a column of marbles by 1 space in any direction + pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,0.4487179487179487,156.0,70.0,0.05128205128205132
pushout_pushrequirement,"Pushed out marbles return to the center, if it is free. Else they are removed._You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent.","pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + pushrequirement: You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent.",0.55,60.0,33.0,0.050000000000000044
pushout_pushrequirement,"Pushed out marbles are removed from play_You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent.","pushout: Pushed out marbles are removed from play + pushrequirement: You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent.",0.55,60.0,33.0,0.050000000000000044
movement_victory,Move 1 marble exactly 2 spaces in any direction._Push out 3 opposing marbles.,movement: Move 1 marble exactly 2 spaces in any direction. + victory: Push out 3 opposing marbles.,0.45,60.0,27.0,0.04999999999999999
pushout_victory,Pushed out marbles are removed from play_Occupy 1 goal of each color.,pushout: Pushed out marbles are removed from play + victory: Occupy 1 goal of each color.,0.5490196078431373,102.0,56.0,0.0490196078431373
pushout_victory,Pushed out marbles return to the center. Remove any pre-existing marble._Push out 3 opposing marbles.,pushout: Pushed out marbles return to the center. Remove any pre-existing marble. + victory: Push out 3 opposing marbles.,0.4523809523809524,42.0,19.0,0.047619047619047616
movement,Move 1 marble by 1 space in any direction.,movement: Move 1 marble by 1 space in any direction.,0.4541666666666666,240.0,109.0,0.04583333333333339
movement_push,Move 1 marble by 1 space in any direction._Push a column of marbles by 1 space in any direction,movement: Move 1 marble by 1 space in any direction. + push: Push a column of marbles by 1 space in any direction,0.4541666666666666,240.0,109.0,0.04583333333333339
push_victory,Push a column of marbles by 1 space in any direction_Occupy 1 goal of each color.,push: Push a column of marbles by 1 space in any direction + victory: Occupy 1 goal of each color.,0.545751633986928,306.0,167.0,0.04575163398692805
victory,Occupy 1 goal of each color.,victory: Occupy 1 goal of each color.,0.545751633986928,306.0,167.0,0.04575163398692805
movement_victory,Move 1 marble exactly 2 spaces in any direction._Occupy all goals of your color.,movement: Move 1 marble exactly 2 spaces in any direction. + victory: Occupy all goals of your color.,0.5454545454545454,66.0,36.0,0.045454545454545414
pushout_pushrequirement,"Pushed out marbles return to the center, if it is free. Else they are removed._You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.","pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.",0.4583333333333333,72.0,33.0,0.041666666666666685
pushrequirement_victory,You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent._Occupy 1 goal of each color.,pushrequirement: You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent. + victory: Occupy 1 goal of each color.,0.4583333333333333,48.0,22.0,0.041666666666666685
movement_pushout,Move 1 marble exactly 2 spaces in any direction._Pushed out marbles return to the center. Remove any pre-existing marble.,movement: Move 1 marble exactly 2 spaces in any direction. + pushout: Pushed out marbles return to the center. Remove any pre-existing marble.,0.5416666666666666,96.0,52.0,0.04166666666666663
pushout_pushrequirement,"Pushed out marbles return to the center, if it is free. Else they are removed._You can push opposing marbles if you use fewer or more marbles.","pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + pushrequirement: You can push opposing marbles if you use fewer or more marbles.",0.5416666666666666,48.0,26.0,0.04166666666666663
pushrequirement_victory,You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent._Occupy 1 goal of each color.,pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent. + victory: Occupy 1 goal of each color.,0.5370370370370371,54.0,29.0,0.03703703703703709
